Issuer|Ticker|CUSIP|CIK
ALCOA INC|AA|013817101|4281
ALTANA AKTIENGESELLSCHAFT SPON|AAA|02143N103|
AAA PUB ADJUSTING GRP INC NEW |AAAA|00249C203|
ASIA AUTOMOTIVE ACQUISITION CO|AAAC|04519K101|1332552
ASIA AUTOMOTIVE ACQUISITION CO|AAACU|04519K200|1332552
ASIA AUTOMOTIVE ACQUISITION CO|AAACW|04519K119|1332552
AAA Energy Inc. Common Stock|AAAE|00247X100|
AAA Energy Inc. Common Stock|AAAEE|00247X100|
ALTANA AKTIENGESELLSCHAFT SPON|AAAGY|02143N103|
AAA MANUFACTURING|AAAM|000275107|
ASIA BROADBAND INC|AABB|04518L100|1287145
ACCESS ANYTIME BANCORP INC|AABC|00431F105|1024015
ASIAN AMERN BK & TR CO|AABT|04516M100|
ABERDEEN INTERNATIONAL INC|AABVF|003069101|
LEHMAN BROTHERS CURRENCY BASKE|AABWS|52520W721|
AUSTRALIA ACQUISTION CORP ORD |AAC|G06368107|1099290
AAC TECHNOLOGIES HOLDINGS INC |AACAY|000304105|
ALLIANCE ATLANTIS COMM IN CL B|AACB|01853E204|
ASSET ACCEP CAP CORP|AACC|04543P100|1264707
ACE CASH EXPRESS INC|AACE|004403101|849116
ASIA CEMENT (CHINA) HOLDINGS C|AACEY|04520L106|
AUSTRALIA ACQUISITION CORP|AACOU|G06368123|
AUSTRALIA ACQUISITION CORP WAR|AACOW|G06368115|
AUSTRALIA ACQUISTION CORP ORD |AACP|G06368107|1099290
AUSTRALIA ACQUISTION CORP ORD |AACPF|G06368107|1099290
ARDENT ACQUISITION CORP|AACQ|03979E100|
ARDENT ACQUISTION CORP UNITS 2|AACQU|03979E209|
ARDENT ACQUISITION CORP WARRAN|AACQW|03979E118|
AMERICAN COMMERCE SLTS INC|AACS|025199100|
ASIAN DRAGON GROUP INC COM STK|AADG|04517B103|
ASIAN DRAGON GROUP INC COM STK|AADGE|04517B103|
Anglo Andean Mining Company Co|AADN|034889105|
ADVISORSHARES TR WCM/BNY MELLO|AADR|00768Y206|
ARAPAHOE ENERGY CORP NEW|AAEFF|038724100|
ALL AMERICAN ENERGY HOLDING, I|AAEH|01643W100|
ALL AMERICAN ENERGY HLDG INC N|AAEHD|01643W209|
ALL AMERICAN FOOD GR INC|AAFGQ|016435307|
ALL AMERICAN GOLD CORP COM STK|AAGC|01643V102|1409430
ASIA GLOBAL HOLDINGS CORP. COM|AAGH|04518D108|
Asia Global Holdings Corp. Com|AAGHE|04518D108|
AIA GROUP LTD SPONSORED ADR HO|AAGIY|001317205|
ANTI AGING MEDICAL GROUP CORP|AAGM|03703T100|
ANTI AGING MEDICAL GROUP CORP|AAGR|03703T209|
ASTRA AGRO LESTARI TBK PT UNSP|AAGRY|046301107|
ALMAH INC COMMON STOCK (NV)|AAHC|020290102|
AIRTRAN HOLDINGS INC|AAI|00949P108|948846
ASTRAL MEDIA INC CL-A|AAIAF|046346201|
AIA GROUP, LTD. UNSPONSORED AD|AAIGY|001317106|
ALABAMA AIRCRAFT INDUSTRIES IN|AAII|01023E100|1013243
AAIPHARMA INC|AAIIE|00252W104|
ALABAMA AIRCRAFT INDUSTRIES IN|AAIIQ|01023E100|1013243
AVANTAIR INC COM|AAIR|05350T101|1303849
AVANTAIR INC COM|AAIRE|05350T101|1303849
Avantair, Inc. Warrants 2/25/2|AAIRW|05350T119|
ISHARES MSCI ALL COUNTRY ASIA |AAIT|46429B374|
AMERICAN AIRLINES GROUP INC CO|AAL|02376R102|6201
AMERALIA INC|AALA|023559206|
AMERICAN AIRLINES GROUP INC SE|AALCP|02376R201|
AMERICAN AIRLINES GROUP INC SE|AALCP|02376R300|
AMERICAN AIRLINES GROUP INC SE|AALCP|02376R409|
ASIAMART, INC. COMMON STOCK|AAMA|04519R106|
Asiamart, Inc. Common Stock|AAMAE|04519R106|
ALTISOURCE ASSET MANAGEMENT CO|AAMC|02153X108|1555074
AMERICAN ASSET MGMT CRP|AAMCE|024010308|
ATLANTIC AMERICAN CORP|AAME|048209100|8177
AMERICAN AMMUNITION INC (CA) N|AAMI|023826100|
ADERA MINES LTD|AAML|006858104|1281629
AMR CORP|AAMRQ|001765106|
ARMADA MERCANTILE LTD (F)|AAMTF|041904103|
AMERICAN AMMUNITION INC (NV)|AAMU|023826209|1123648
AMERICAN AMMUNITION INC (NV)|AAMUQ|023826209|
AMERICAN AMMUNITION INC (NV)|AAMUQ|023826209|1123648
AARON'S INC COM STK|AAN|002535300|706688
AARON'S INC CL-A|AANA|002535300|
ABIGAIL ADAMS NATL BNCP INC|AANB|003390101|356809
AMEDIA NETWORKS INC|AANI|023434103|933955
AMEDIA NETWORKS INC|AANIE|023434103|933955
AMERICAN ASIATIC OIL CORP COM|AAOC|023879109|
APPLIED OPTOELECTRONICS INC CO|AAOI|03823U102|1158114
AAON INC|AAON|000360206|824142
ADVANCE AUTO PARTS INC|AAP|00751Y106|1158449
AMER ARCHITECTURAL PROD INC|AAPC|023857105|
AMERICAN PETRO-HUNTER INC|AAPH|028857100|1040482
AAP, INC. COMMON STOCK|AAPJ|00037T103|
APPLE INC;COM NPV|AAPL|037833100|320193
AMERICA ASIA PETROLEUM CORPORA|AAPM|02363N106|
AAMPRO GROUP INC|AAPO|002532109|
AAMPRO GROUP INC|AAPOE|002532109|
ALCOA INC $3.75 CUM PFD STK|AAPR|013817200|
ALL AMERICAN PET COMPANY, INC.|AAPT|01644F106|1362502
ANGLO AMERN PLATINUM ADR-NEW|AAPTY|034855106|
AMERICA ASIA PETROLEUM CORPORA|AAPU|02363N205|
AMERICAN ANTIQUITIES, INC.|AAQS|023846108|
AMR CRP 7.875% (PINES) 7/13/39|AAR|001765866|
AARO BROADBAND WIRELESS COMM|AARW|00252V106|
AMERICAN ASSOCIATES GROUP, INC|AASG|02401Q103|
AMERICA'S SUPPLIERS INC COMMON|AASL|03063J106|
ALL-AMERICAN SPORTPARK INC|AASP|01643P105|930245
ALLIED AMERN STL CORP COM STK |AAST|018847103|
AMERICAN ASSETS TR INC COM STK|AAT|024013104|1500217
ADVANCED ANALOGIC TECHNOLOGIES|AATI|00752J108|1104042
AMERICAN ACCESS TECHNOLGS INC|AATK|02368F108|
AMG CAP TR II 5.15 CONV TR PFD|AATRL|00170F209|
AASTRA TECHNOLOGIES LTD -NEW|AATSF|002922201|
American Alternative Energy Co|AATV|023815103|
ALMADEN MINERALS LTD|AAU|020283107|
AMERICAN GOLD CAPITAL CORP|AAUCF|026372102|
ANGLO AMER PLC NEW ADR UK|AAUK|03485P201|
ANGLO AMER PLC NEW ADR UK|AAUKD|03485P201|
ANGLO AMER PLC NEW ADR UK|AAUKY|03485P201|
ADVANTAGE OIL & GAS LTD COM|AAV|00765F101|
AVSTAR AVIATION GROUP INC COM |AAVG|05452X109|1077319
UBS AG LONDON BRH ETRACS LINKE|AAVX|90268A873|
ATLAS AIR WORLDWIDE HOLDINGS|AAWHQ|049164106|
ATLAS AIR WORLDWIDE HLDGS NEW |AAWW|049164205|
ATLAS AIR WORLDWIDE HLDGS NEW |AAWW|049164205|1135185
ISHARES MSCI ALL COUNTRY ASIA |AAXJ|464288182|
Aamaxan Transport Group, Inc. |AAXT|00252R303|1358940
ALLIANCEBERNSTEIN HOLDING L.P.|AB|01881G106|825313
Alabama Power Company Sr Nt Se|ABA|010392520|
ALABAMA POWER COMPANY SR NT SE|ABACL|010392520|
ABACAN RESOURCE CORP NEW (F)|ABACQ|002919108|
ABBASTER URANIUM CORP COM SHS|ABAHF|00258C102|
ADVANCED BATTERY TECHNOLOGIES |ABAT|00752H102|745651
ABAXIS INC|ABAX|002567105|881890
ABB LTD ADS ( 1 REG SHS)|ABB|000375204|
AUBURN BANCORP, INC. COMMON ST|ABBB|050254101|1428802
ABINGTON BANCORP INC (PA)|ABBC|00350L109|1397533
ABINGTON BANCORP INC (PA)|ABBCD|00350L109|1397533
ABRAXIS BIOSCIENCE INC COM STK|ABBI|00383E106|
ABBASTAR RES CORP COM SHS NEW |ABBRD|00258C201|
ABBASTAR RES CORP. COMMON SHAR|ABBRF|00258C300|
ABBVIE INC COM STK (DE)|ABBV|00287Y109|1551152
ABBY INC COM STK (CO)|ABBY|00287T209|
